task,user_prompt,ground_truth,additional_args
retrieval,does human hair stop squirrels,Yes,"{""true_qrel_list"": [""0_2""]}"
retrieval,what are the benefits of fossil fuels,"Fossil fuels are basically the remains of animals and plants and these are good energy resources. The three main fossil fuels are natural gas, oil, and coal. Fossil fuels are low in cost and are very important resources for our economy. Fossil fuels are used to generate electricity used as fuels for transportation.","{""true_qrel_list"": [""1_1""]}"
retrieval,what is a apothem,The apothem of a regular polygon is a line segment from the center to the midpoint of one of its sides.,"{""true_qrel_list"": [""2_5""]}"
retrieval,average cost for custom canopy,$45 to $210. 2,"{""true_qrel_list"": [""3_5""]}"
retrieval,what is a hardware in a computer,It is the collection of physical elements that constitutes a computer system.,"{""true_qrel_list"": [""4_1""]}"
retrieval,edi logistics definition,A standard format for exchanging business data between organisations by electronic means. In other words Electronic Data Interchange (EDI) refers to the computer-to-computer exchange between different companies via electronic communication channels.,"{""true_qrel_list"": [""5_5"",""5_7""]}"
retrieval,why should recreational marijuana be illegal,Marijuana should not be made legal for recreational use because it will have drastic negative effects on the U.S. economy.,"{""true_qrel_list"": [""6_7""]}"
retrieval,what class are spiders in,Arachnida,"{""true_qrel_list"": [""7_4""]}"
retrieval,where is the amur leopard found,"In eastern Russia, near the Amur River within a thin strip south of Lake Khanka; and in the Jilin Province of China.","{""true_qrel_list"": [""8_0""]}"
retrieval,how much does it cost to spayed my female rabbit,$85 to $200,"{""true_qrel_list"": [""9_1""]}"
retrieval,what does proteus mirabilis look like,Gram-negative rods,"{""true_qrel_list"": [""10_6""]}"
retrieval,is bougainvillea a shrub,Yes,"{""true_qrel_list"": [""11_3""]}"
retrieval,is oxyfluorfen safe on cotton,Yes,"{""true_qrel_list"": [""12_6""]}"
retrieval,what types of bacteria are found in the mouth,Aerobic bacteria and Anaerobic bacteria,"{""true_qrel_list"": [""13_4""]}"
retrieval,average wage of an actor,"According to the U.S. Department of Labor, the annual median wage for actors is $19.14 per hour.","{""true_qrel_list"": [""15_1""]}"
retrieval,how often should men get a PSA test,"If the PSA level is between 1 and 3 ng / mL, men should see their doctor for another PSA test every 2 - 4 years.","{""true_qrel_list"": [""16_5""]}"
retrieval,what is financial assets,"An intangible asset whose value is derived from a contractual claim, such as bank deposits, bonds, and stocks.","{""true_qrel_list"": [""17_5""]}"
retrieval,Starch and _____ are common polysaccharide carbohydrates found in plants.,Cellulose,"{""true_qrel_list"": [""18_2"",""18_4""]}"
retrieval,is cypress community storage flooded,Yes,"{""true_qrel_list"": [""19_8""]}"
retrieval,what is a cost variance,Is the difference between the cost actually incurred and the budgeted or planned amount of cost that should have been incurred.,"{""true_qrel_list"": [""20_2""]}"
retrieval,where does bacteria come from,"Bacteria can come from many different sources, including: Most pets that poop on the lawn are warm blooded mammals, which means that their excrement contains E. coli bacteria.During snowmelt or rainwater events, this bacteria is often washed into local streams and eventually finds its way to the Huron River.","{""true_qrel_list"": [""21_9""]}"
retrieval,what are electromagnetic waves made of,Photon,"{""true_qrel_list"": [""22_1""]}"
retrieval,what causes inflamed pancreas,Prolonged alcohol abuse and gallstones,"{""true_qrel_list"": [""23_5""]}"
retrieval,what does the word starling mean,"A gregarious passerine bird, of the family Sturnidae, having dark, iridescent plumage. In other words, any of a family (Sturnidae, especially genus Sturnus) of usually dark gregarious oscine birds; especially: a dark brown or in summer glossy greenish-black European bird (S. vulgaris) naturalized nearly worldwide and often considered a pest.","{""true_qrel_list"": [""24_2"",""24_7""]}"
retrieval,what constitutes battery,"It is a criminal offense involving unlawful physical contact, distinct from assault which is the act of creating apprehension of such contact.In the United States, criminal battery, or simply battery, is the use of force against another, resulting in harmful, offensive or sexual contact.","{""true_qrel_list"": [""25_8""]}"
retrieval,what causes yeast infection itching,Candida albicans is the most common type of fungus to cause yeast infections.,"{""true_qrel_list"": [""26_5""]}"
retrieval,What is the difference between mastic and thinset?,The advantage of mastic compared to thinset is the setting time and “stickiness” which helps make tile installation much quicker and easier.,"{""true_qrel_list"": [""27_5""]}"
retrieval,how long to steam artichokes in steamer,25 to 45 minutes,"{""true_qrel_list"": [""28_5""]}"
retrieval,why is glucose important,"It helps the reproduction of cells, composition of proteins and nucleic acids founding all cells.","{""true_qrel_list"": [""29_3""]}"
retrieval,temp chicken to be cook,165° Fahrenheit (75° Celsius). Or 350 degrees F,"{""true_qrel_list"": [""30_0"",""30_4""]}"
retrieval,what is the postsynaptic density,Is a protein dense specialization attached to the postsynaptic membrane.PSDs were originally identified by electron microscopy as an electron-dense region at the membrane of a postsynaptic neuron,"{""true_qrel_list"": [""31_0""]}"
retrieval,nigel name meaning,Champion.,"{""true_qrel_list"": [""33_1""]}"
retrieval,which bring electrical impulses toward a cell body,Dendrites,"{""true_qrel_list"": [""34_1""]}"
retrieval,what reform policies did mikhail gorbachev initiate,Glasnost,"{""true_qrel_list"": [""35_2""]}"
retrieval,definition of a business association,Business associations are membership organizations engaged in promoting the business interests of their members.,"{""true_qrel_list"": [""36_1""]}"
retrieval,what temperature degree to cook crepes at,350 degrees,"{""true_qrel_list"": [""37_4""]}"
retrieval,when must ira distributions begin,In the year you turn 70 ½.,"{""true_qrel_list"": [""38_2""]}"
retrieval,what qualifications do a police officer need,"The minimum requirement is usually a high school diploma, although an increasing number of police departments require applicants to complete at least one or two years of college coursework or have an associate’s degree.","{""true_qrel_list"": [""39_1""]}"
retrieval,nervous system axon definition,"The nervous system is designed to control almost every system in the body. It does so through the use of neurons, which communicate with cells and tissue in different systems. This article addresses a part of the neuron, called the axon, which is important in this cellular communication.","{""true_qrel_list"": [""41_5""]}"
retrieval,what is gilded glass,"Water gilding is used to achieve a mirror finish on glass, also called a bright finish. Only loose leaf is used, not transfer leaf.","{""true_qrel_list"": [""42_6""]}"
retrieval,define neutropenic fever,A single oral temperature of 38.3 º C (101 º F) or a temperature of greater than 38.0 º C (100.4 º F) sustained for more than 1 hour in a patient with neutropenia.,"{""true_qrel_list"": [""43_0""]}"
retrieval,subjectively define,"Relating to, or constituting a subject: as a obsolete of, relating to, or characteristic of one that is a subject especially in lack of freedom of action or in submissiveness.","{""true_qrel_list"": [""44_3""]}"
retrieval,can prison help the borderline?,no,"{""true_qrel_list"": [""45_0""]}"
retrieval,average physician assistant salary boston ma,"$87,234 per year","{""true_qrel_list"": [""46_6""]}"
