task,user_prompt,additional_args
retrieval,Nominal value of shares,"{""true_qrel_list"": [""251604""]}"
retrieval,What is a reasonable salary for the owner and sole member of a small S-Corp?,"{""true_qrel_list"": [""556220"", ""388704"", ""521657""]}"
retrieval,What exchange rate does El Al use when converting final payment amount to shekels?,"{""true_qrel_list"": [""482343"", ""348955""]}"
retrieval,How to find cheaper alternatives to a traditional home telephone line?,"{""true_qrel_list"": [""413832"", ""450742"", ""143100""]}"
retrieval,My previous and current employers both use Fidelity for 401(k). Does it make sense to rollover?,"{""true_qrel_list"": [""518379"", ""335991""]}"
retrieval,Who Bought A Large Number Of Shares?,"{""true_qrel_list"": [""441155"", ""532211"", ""553066""]}"
retrieval,When do I sell a stock that I hold as a long-term position?,"{""true_qrel_list"": [""552707"", ""557877"", ""378173"", ""90294""]}"
retrieval,"Is this mortgage advice good, or is it hooey?","{""true_qrel_list"": [""394551"", ""160932"", ""293624"", ""233294"", ""243268"", ""379487"", ""62868""]}"
retrieval,Would the effects of an anticipated default by a nation be mostly symbolic?,"{""true_qrel_list"": [""234674"", ""109149""]}"
retrieval,Selling Stock - All or Nothing?,"{""true_qrel_list"": [""340214"", ""223206""]}"
retrieval,Selling To Close,"{""true_qrel_list"": [""40702"", ""557582"", ""431946""]}"
retrieval,Why would you elect to apply a refund to next year's tax bill?,"{""true_qrel_list"": [""304284"", ""147765"", ""34913"", ""398622"", ""575729"", ""31483"", ""159880"", ""71898"", ""196423"", ""445230""]}"
retrieval,Best way to pay off debt?,"{""true_qrel_list"": [""253369"", ""378594""]}"
retrieval,How do i get into investing stocks [duplicate],"{""true_qrel_list"": [""208165"", ""474296"", ""312821""]}"
retrieval,Why should one only contribute up to the employer's match in a 401(k)?,"{""true_qrel_list"": [""371886"", ""163834"", ""231012"", ""145716"", ""411910"", ""395840""]}"
retrieval,Why would anyone want to pay off their debts in a way other than “highest interest” first?,"{""true_qrel_list"": [""94373"", ""367375"", ""287571"", ""224918"", ""128574"", ""431212"", ""272866"", ""230215"", ""55084"", ""160193"", ""5827"", ""352638"", ""63690"", ""426120"", ""63501""]}"
retrieval,What are reasonable administrative fees for an IRA?,"{""true_qrel_list"": [""30417"", ""402240""]}"
retrieval,"To pay off a student loan, should I save up a lump sum payoff payment or pay extra each month?","{""true_qrel_list"": [""128698"", ""470716"", ""257248"", ""519675"", ""76414"", ""169688"", ""455614"", ""115717""]}"
retrieval,"Finance, Social Capital IPOA.U","{""true_qrel_list"": [""323768""]}"
retrieval,Video recommendation for stock market education,"{""true_qrel_list"": [""534418"", ""585447""]}"
retrieval,Are bond ETF capital gains taxed similar to stock or stock funds if held for more than 1 year?,"{""true_qrel_list"": [""149305"", ""102243""]}"
retrieval,Is it possible for US retail forex traders to trade exotic currencies?,"{""true_qrel_list"": [""376126"", ""593029""]}"
retrieval,"Any reason to keep around my account with my old, 'big' bank?","{""true_qrel_list"": [""449630"", ""18749""]}"
retrieval,Frustrated Landlord,"{""true_qrel_list"": [""118730"", ""509391"", ""363810"", ""224654"", ""590489""]}"
retrieval,Found an old un-cashed paycheck. How long is it good for? What to do if it's expired?,"{""true_qrel_list"": [""376499"", ""66058"", ""212713"", ""267362"", ""250285"", ""220691""]}"
retrieval,Income Tax and Investments,"{""true_qrel_list"": [""106501"", ""436701""]}"
retrieval,Tax on Stocks or ETF's,"{""true_qrel_list"": [""42521"", ""475170"", ""321114"", ""465313""]}"
